UserID,Age,Income,Current Savings,Risk Tolerance,Fixed Deposit (%),Mutual Funds (%),Bonds (%),Stocks (%)
1,Senior,High,High,High,20,40,10,30
2,Young,Low,Low,High,10,20,10,60
3,Middle,Low,Low,Low,50,20,20,10
4,Middle,Medium,High,Medium,40,30,10,20
5,Middle,Low,Medium,Low,50,20,20,10
6,Young,High,Medium,Medium,20,30,10,40
7,Young,High,Medium,Low,40,30,20,10
8,Young,Low,Medium,Low,40,30,20,10
9,Senior,High,Medium,Low,60,20,10,10
10,Middle,Medium,Low,Medium,40,30,10,20
11,Middle,Medium,High,Medium,40,30,10,20
12,Senior,Low,Low,Medium,40,30,20,10
13,Young,Medium,High,Medium,20,30,10,40
14,Young,High,Medium,High,10,20,10,60
15,Middle,Medium,High,Medium,40,30,10,20
16,Senior,High,Medium,Low,60,20,10,10
17,Senior,Medium,High,Medium,40,30,20,10
18,Young,Low,High,High,10,20,10,60
19,Middle,Medium,Medium,High,20,30,10,40
20,Senior,Low,Low,High,20,40,10,30
21,Middle,High,Low,High,20,30,10,40
22,Middle,Low,High,Low,50,20,20,10
23,Young,Low,Low,High,10,20,10,60
24,Senior,High,Medium,Medium,40,30,20,10
25,Middle,Low,Low,Low,50,20,20,10
26,Young,Low,Low,High,10,20,10,60
27,Middle,Medium,Medium,High,20,30,10,40
28,Middle,Medium,Medium,Medium,40,30,10,20
29,Young,High,High,High,10,20,10,60
30,Middle,Low,Low,Low,50,20,20,10
31,Young,High,Medium,Medium,20,30,10,40
32,Young,Medium,Low,High,10,20,10,60
33,Young,Low,Medium,Low,40,30,20,10
34,Senior,Medium,High,High,20,40,10,30
35,Senior,Low,Medium,High,20,40,10,30
36,Young,High,Low,High,10,20,10,60
37,Young,High,Medium,Medium,20,30,10,40
38,Senior,High,Low,Low,60,20,10,10
39,Middle,High,Low,High,20,30,10,40
40,Young,Medium,Medium,Medium,20,30,10,40
41,Middle,Low,Low,High,20,30,10,40
42,Middle,Low,Medium,Low,50,20,20,10
43,Middle,High,High,High,20,30,10,40
44,Senior,Low,Low,High,20,40,10,30
45,Middle,Low,Medium,Medium,40,30,10,20
46,Young,Low,Medium,Medium,20,30,10,40
47,Middle,Medium,Low,High,20,30,10,40
48,Middle,Low,Medium,High,20,30,10,40
49,Young,Medium,High,Low,40,30,20,10
50,Middle,High,High,Medium,40,30,10,20
51,Senior,Low,Low,Low,60,20,10,10
52,Middle,Low,Low,Medium,40,30,10,20
53,Middle,High,Low,Medium,40,30,10,20
54,Senior,Medium,Medium,Low,60,20,10,10
55,Young,High,High,Medium,20,30,10,40
56,Middle,Low,Medium,High,20,30,10,40
57,Senior,Medium,High,Low,60,20,10,10
58,Senior,Medium,Medium,Medium,40,30,20,10
59,Senior,Low,Low,Medium,40,30,20,10
60,Young,High,Low,Low,40,30,20,10
61,Young,High,High,Medium,20,30,10,40
62,Senior,Low,High,Low,60,20,10,10
63,Young,Medium,High,Medium,20,30,10,40
64,Senior,Medium,Medium,High,20,40,10,30
65,Senior,Low,Low,Medium,40,30,20,10
66,Middle,Medium,Low,High,20,30,10,40
67,Middle,Medium,Low,Low,50,20,20,10
68,Middle,Low,High,Medium,40,30,10,20
69,Middle,Low,Low,Medium,40,30,10,20
70,Middle,Low,High,Low,50,20,20,10
71,Young,Low,High,Medium,20,30,10,40
72,Middle,Low,Medium,Low,50,20,20,10
73,Senior,Medium,Medium,High,20,40,10,30
74,Middle,Medium,Low,Medium,40,30,10,20
75,Young,Low,Medium,Low,40,30,20,10
76,Young,High,High,Low,40,30,20,10
77,Young,Low,Low,High,10,20,10,60
78,Senior,Low,High,Low,60,20,10,10
79,Middle,Low,High,Medium,40,30,10,20
80,Middle,Low,High,Medium,40,30,10,20
81,Senior,High,Medium,High,20,40,10,30
82,Middle,Low,Low,High,20,30,10,40
83,Middle,Medium,Medium,High,20,30,10,40
84,Young,Medium,Low,Low,40,30,20,10
85,Middle,Low,Low,Medium,40,30,10,20
86,Middle,Medium,Low,High,20,30,10,40
87,Young,High,Low,Low,40,30,20,10
88,Young,Medium,High,High,10,20,10,60
89,Senior,Medium,High,Medium,40,30,20,10
90,Young,High,Low,Low,40,30,20,10
91,Middle,Medium,Low,Medium,40,30,10,20
92,Young,Low,Medium,Medium,20,30,10,40
93,Senior,Medium,High,Medium,40,30,20,10
94,Young,Medium,Low,High,10,20,10,60
95,Senior,Low,High,High,20,40,10,30
96,Young,Medium,High,Medium,20,30,10,40
97,Middle,Low,Medium,High,20,30,10,40
98,Middle,Medium,Low,High,20,30,10,40
99,Young,Medium,High,Low,40,30,20,10
100,Senior,Medium,High,Medium,40,30,20,10
101,Middle,Low,High,High,20,30,10,40
102,Middle,Low,High,High,20,30,10,40
103,Middle,Low,High,High,20,30,10,40
104,Young,Medium,Medium,High,10,20,10,60
105,Young,Low,Low,Low,40,30,20,10
106,Middle,Medium,Medium,Medium,40,30,10,20
107,Middle,Low,Medium,Low,50,20,20,10
108,Middle,Medium,Medium,Low,50,20,20,10
109,Middle,Low,High,Medium,40,30,10,20
110,Young,High,High,Medium,20,30,10,40
111,Young,High,Low,High,10,20,10,60
112,Young,Low,Medium,Low,40,30,20,10
113,Young,Low,High,Medium,20,30,10,40
114,Senior,Medium,Low,Medium,40,30,20,10
115,Young,Low,Low,Medium,20,30,10,40
116,Young,Medium,Medium,High,10,20,10,60
117,Young,Low,Low,Low,40,30,20,10
118,Senior,Medium,Medium,High,20,40,10,30
119,Middle,Low,Low,High,20,30,10,40
120,Middle,Low,Low,Low,50,20,20,10
121,Young,Low,Medium,Medium,20,30,10,40
122,Senior,Medium,High,Low,60,20,10,10
123,Senior,High,High,Low,60,20,10,10
124,Young,Low,Low,Medium,20,30,10,40
125,Senior,Medium,Low,High,20,40,10,30
126,Young,Low,Low,High,10,20,10,60
127,Young,Medium,Low,High,10,20,10,60
128,Middle,High,Medium,Medium,40,30,10,20
129,Young,High,Medium,Medium,20,30,10,40
130,Young,Medium,Medium,Low,40,30,20,10
131,Young,Medium,Low,Medium,20,30,10,40
132,Young,Medium,Medium,High,10,20,10,60
133,Young,High,High,Low,40,30,20,10
134,Middle,Medium,Low,Medium,40,30,10,20
135,Senior,Medium,Low,High,20,40,10,30
136,Young,High,High,Low,40,30,20,10
137,Middle,High,Medium,High,20,30,10,40
138,Middle,Low,Medium,High,20,30,10,40
139,Senior,High,Low,Low,60,20,10,10
140,Middle,Low,Medium,Medium,40,30,10,20
141,Young,High,Low,Low,40,30,20,10
142,Young,Medium,High,Low,40,30,20,10
143,Young,Low,High,Medium,20,30,10,40
144,Senior,Medium,Medium,High,20,40,10,30
145,Middle,High,Low,Medium,40,30,10,20
146,Senior,Low,Low,High,20,40,10,30
147,Senior,High,High,Low,60,20,10,10
148,Middle,Low,Low,Low,50,20,20,10
149,Senior,Medium,Medium,Low,60,20,10,10
150,Middle,Low,High,High,20,30,10,40
151,Young,High,High,High,10,20,10,60
152,Senior,Medium,Medium,Medium,40,30,20,10
153,Middle,High,High,Medium,40,30,10,20
154,Young,Low,Low,High,10,20,10,60
155,Senior,High,Medium,High,20,40,10,30
156,Young,High,Medium,Medium,20,30,10,40
157,Middle,Medium,Medium,High,20,30,10,40
158,Senior,Low,Low,High,20,40,10,30
159,Young,Medium,Medium,Low,40,30,20,10
160,Middle,Low,High,Low,50,20,20,10
161,Young,Low,Medium,Low,40,30,20,10
162,Middle,Medium,Medium,Medium,40,30,10,20
163,Young,Low,High,High,10,20,10,60
164,Middle,Medium,Medium,Low,50,20,20,10
165,Senior,Low,Low,Medium,40,30,20,10
166,Middle,Medium,Low,High,20,30,10,40
167,Middle,High,Low,High,20,30,10,40
168,Middle,Medium,Medium,Low,50,20,20,10
169,Middle,Low,High,Low,50,20,20,10
170,Middle,Medium,High,High,20,30,10,40
171,Middle,Low,High,Medium,40,30,10,20
172,Young,Low,High,Medium,20,30,10,40
173,Senior,Medium,Medium,High,20,40,10,30
174,Young,Medium,Medium,Medium,20,30,10,40
175,Middle,Medium,Low,Low,50,20,20,10
176,Senior,Medium,High,Medium,40,30,20,10
177,Middle,High,Medium,High,20,30,10,40
178,Middle,Low,High,High,20,30,10,40
179,Senior,High,Low,High,20,40,10,30
180,Senior,High,Medium,High,20,40,10,30
181,Young,Medium,Medium,High,10,20,10,60
182,Young,High,High,High,10,20,10,60
183,Middle,Medium,High,Medium,40,30,10,20
184,Senior,Low,High,Medium,40,30,20,10
185,Middle,Medium,High,Low,50,20,20,10
186,Middle,High,Low,Low,50,20,20,10
187,Senior,Medium,High,Medium,40,30,20,10
188,Young,Medium,High,Low,40,30,20,10
189,Young,Medium,High,Medium,20,30,10,40
190,Senior,High,Low,Medium,40,30,20,10
191,Senior,Medium,Medium,High,20,40,10,30
192,Young,Low,High,Medium,20,30,10,40
193,Young,Low,Medium,High,10,20,10,60
194,Middle,Medium,Low,High,20,30,10,40
195,Senior,Medium,Low,Medium,40,30,20,10
196,Senior,High,Medium,Low,60,20,10,10
197,Senior,High,High,High,20,40,10,30
198,Middle,Medium,Low,Low,50,20,20,10
199,Middle,Medium,Low,Medium,40,30,10,20
