Serial No,Exercise Name,Muscle Group,Intensity Level,Suitable for BMI Case,Suitable for BFP Case,Reps,Sets,Duration (minutes),Rest (seconds),Gifs,instructions
1,Bench Press,Chest,High,"Fitness, Acceptable, Obese, Athletes","Normal, Mild Thinness, Overweight",10,4,45,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bench-Press.gif,"1. Setup: Lie flat on a bench with your feet firmly on the ground. Grip the barbell slightly wider than shoulder-width, keeping your wrists straight and elbows at a 90-degree angle.

2. Lowering the Bar: Slowly lower the bar to your mid-chest, keeping your elbows at about a 45-degree angle to your body. Maintain control and avoid bouncing the bar.

3. Pressing Up: Push the barbell back up in a straight line by extending your arms, fully engaging your chest and triceps. Lock your elbows at the top to complete the rep.
"
2,Squats,Legs,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,50,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Dumbbell-Squat.gif,"1.Stand with feet shoulder-width apart, toes slightly pointed out, and hold the dumbbell across your shoulders.
2.Lower your hips down and back, keeping your chest up and knees in line with your toes.
3.Push through your heels to return to a standing position."
3,Deadlift,Back,High,"Fitness, Athletes, Obese, Acceptable","Normal, Overweight, Severe Thinness",8,3,40,180,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Deadlift.gif,"1.Stand with feet hip-width apart, barbell over mid-foot, and grip the bar with both hands.
2.Hinge at your hips, bend your knees, and lift the bar by extending your hips and knees.
3.Lower the bar back to the ground by hinging at your hips and keeping your back straight."
4,Overhead Press,Shoulders,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Mild Thinness",12,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Standing-Dumbbell-Overhead-Press.gif,"1.Stand with feet shoulder-width apart and grip the barbell at shoulder height with palms facing forward.
2.Press the barbell overhead, fully extending your arms.
3.Lower the barbell back to shoulder height in a controlled manner."
5,Barbell Row,Back,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,3,35,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Barbell-Bent-Over-Row.gif,"1 .Stand with feet shoulder-width apart, holding a barbell with a pronated grip.
2.Bend your knees slightly and hinge at the hips, bringing your torso near parallel to the ground.
3.Pull the barbell to your lower chest while keeping your elbows close to your body, then lower it back down."
6,Bicep Curls,Biceps,Low,"Fitness, Athletes, Obese, Acceptable","Severe Thinness, Mild Thinness, Normal",15,3,20,60,https://github.com/silence-killer45/gifs/blob/main/Dumbbell-Curl.gif?raw=true,"1.Stand with feet hip-width apart and hold dumbbells in each hand, palms facing forward.
2.Curl the dumbbells up toward your shoulders, keeping your elbows close to your sides.
3.Lower the weights back down slowly to the starting position."
7,Tricep Dips,Triceps,Medium,"Fitness, Obese, Acceptable, Athletes","Normal, Overweight, Obese",12,4,25,75,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Triceps-Dips.gif,"1.Position your hands shoulder-width apart on a bench or dip bar, legs extended forward.
2.Lower your body by bending your elbows, keeping them close to your sides.
3.Push yourself back up to the starting position, fully extending your arms.
"
8,Lunges,Legs,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",12,4,40,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/bodyweight-lunges.gif,"1.Stand with feet hip-width apart, holding dumbbells at your sides.
2.Step forward with one leg and lower your body until both knees are at 90 degrees.
3.Push through your front heel to return to the starting position and repeat on the other leg."
9,Leg Press,Legs,High,"Fitness, Obese, Athletes, Acceptable","Obese, Severe Obese, Normal",10,4,45,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Leg-Press.gif,"1.Sit on the leg press machine with feet shoulder-width apart on the platform.
2.Push the platform away by extending your legs without locking your knees.
3.Slowly lower the platform back until your knees are at 90 degrees."
10,Running,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,30,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Run.gif,"Start with a light jog to warm up.
Increase your pace to a comfortable running speed, maintaining good posture.
Focus on steady breathing and rhythmic steps throughout the run."
11,Cycling,Cardio,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,40,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/cycling.gif,"1.Adjust the seat height of the bike so your legs are slightly bent at the bottom of the pedal stroke.
2.Begin pedaling at a moderate pace, gradually increasing resistance.
3.Maintain a steady rhythm while keeping your back straight and core engaged."
12,Jump Rope,Cardio,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",0,0,15,0,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Jump-Rope.gif,"1.Hold the handles of the jump rope with your hands slightly above waist level.
2.Jump a few inches off the ground as the rope passes beneath your feet.
3Keep a steady rhythm, using your wrists to spin the rope and avoiding large jumps.."
13,Push-Ups,Chest,Medium,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Obese",15,4,30,90,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Push-Up.gif,"1.Get into a high plank position with your hands shoulder-width apart.
2.Lower your body until your chest is just above the ground.
3.Push through your palms to return to the starting position, keeping your core tight."
14,Pull-Ups,Back,High,"Fitness, Acceptable, Obese, Athletes","Normal, Overweight, Severe Thinness,Mild Thinness,Severe Obese,Obese,Moderate Thinness",10,4,40,120,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/Pull-up.gif,"1.Grip the pull-up bar with hands shoulder-width apart and palms facing away.
2.Pull yourself up until your chin is above the bar.
3.Lower yourself down in a controlled manner to the starting position."
15,Plank,Core,Low,"Fitness, Acceptable, Obese, Athletes","Severe Thinness, Normal, Overweight",0,3,3,60,https://raw.githubusercontent.com/silence-killer45/gifs/refs/heads/main/plank.gif,"1.Start in a forearm plank position with elbows under shoulders and body in a straight line.
2.Keep your core engaged and avoid letting your hips drop or rise.
3.Hold this position for the desired amount of time."
